Year,Price-weighted Capital Appreciation,Price-weighted Appreciation Index,Low dividend return ,High dividend return ,Total return with low dividends,Total return with high dividends,Equal-weighted capital appreciation returns,Equal-weighted capital appreciation return index,Total number of securities  in index,Insurance,Transportation,Banks,Mining,Utility,Industrials and other
1861,-0.0372572808523914,0.734124189400827,0.0320502857932273,0.073284967003459,-0.00520699505916411,0.0360276861510676,0.0348549964307998,30.6961017694993,56,1,30,20,3,0,2
1862,0.491491776737027,1.09494019159507,0.0360216484783959,0.0810328500070119,0.527513425215423,0.572524626744039,0.752172508282847,53.7848656319691,67,2,34,24,5,0,2
1863,0.409513921361293,1.54333344311125,0.0351513473662038,0.0739510403573472,0.444665268727497,0.48346496171864,0.600929655904622,86.1057864290646,82,1,40,24,9,2,6
1864,0.105338077665006,1.70590522120471,0.0417511551374531,0.0797012617204762,0.147089232802459,0.185039339385482,0.0493730792645783,90.3570942475657,91,1,44,23,17,2,4
1865,-0.0133065841722541,1.68320544978886,0.0397331814539873,0.0818396189808261,0.0264265972817332,0.068533034808572,0.0888793159456511,98.387970975126,82,1,37,20,13,1,10
1866,0.00463928052644813,1.69101431205407,0.0438687283714414,0.0930612166226278,0.0485080088978895,0.097700497149076,0.0573031012662468,104.025906839294,94,1,43,24,10,1,15
1867,-0.0261227102984835,1.6468404350697,0.0449589067795693,0.0847220965848944,0.0188361964810857,0.0585993862864109,-0.0537158887312436,98.438062802348,35,0,0,0,0,0,0
1868,0.0152241852293735,1.67191223889642,,,,,0.0426108447065081,102.632591809628,75,1,42,19,2,1,10
1869,-0.0285245442391631,1.62422170427402,0.0417926754759024,0.088745782272774,0.0132681312367393,0.0602212380336109,-0.00589554173328066,102.02751708142,106,2,55,29,6,2,12
1870,-0.0143776095208878,1.60086927883462,0.0420438465564365,0.0911838565952776,0.0276662370355485,0.0768062470743898,0.00626692649841298,102.666916031785,103,1,49,31,7,1,14
1871,0.0334232280510556,1.65437549782104,0.0585585585585586,0.0585585585585586,0.0919817866096142,0.0919817866096142,0.146521295961864,117.70980562117,103,1,50,28,9,2,13
1872,0.00504733261969337,1.66272568123641,0.0632911392405063,0.0632911392405063,0.0683384718601996,0.0683384718601996,0.230757629121359,144.872241290647,26,0,16,0,2,0,8
1873,-0.17700602154836,1.36841322347447,0.0650887573964497,0.0650887573964497,-0.11191726415191,-0.11191726415191,-0.237897300781568,110.407526129426,33,0,17,0,1,0,15
1874,-0.0576984564456147,1.28945789270022,0.0746606334841629,0.0746606334841629,0.0169621770385482,0.0169621770385482,-0.10585681737583,98.7201367990261,31,0,17,0,2,0,12
1875,-0.0471846690882305,1.22861524872996,0.066079295154185,0.066079295154185,0.0188946260659546,0.0188946260659546,-0.16406205389454,82.5239083950279,36,0,19,0,2,0,15
1876,-0.133113625579402,1.06506981852937,0.068649885583524,0.068649885583524,-0.0644637399958775,-0.0644637399958775,-0.0154875909640122,81.2458118570541,38,0,19,0,2,0,17
1877,0.0174211313450392,1.08362453972961,0.053072625698324,0.053072625698324,0.0704937570433633,0.0704937570433633,0.195087754569356,97.0958748604112,41,0,24,0,2,0,15
1878,0.104969187483317,1.19737172720201,0.0553846153846154,0.0553846153846154,0.160353802867932,0.160353802867932,0.248742440137446,121.24773970047,48,0,27,0,3,0,18
1879,0.51305385765214,1.81168791088661,0.0579710144927536,0.0579710144927536,0.571024872144893,0.571024872144893,0.982652606008973,240.392147089834,49,0,26,0,3,0,20
1880,0.198349528954878,2.17103535462421,0.0528455284552846,0.0528455284552846,0.251195057410162,0.251195057410162,0.184755820459514,284.805995457441,74,0,24,0,3,0,47
1881,0.0188008145205982,2.21185258764416,0.0547945205479452,0.0547945205479452,0.0735953350685434,0.0735953350685434,0.105940100086583,314.978371121461,67,0,22,0,3,0,42
1882,-0.0954213003805177,2.00079473748115,0.0532445923460899,0.0532445923460899,-0.0421767080344279,-0.0421767080344279,-0.0227594649007262,307.809631939434,61,0,22,0,2,0,37
1883,-0.150448356913913,1.6997784567051,0.0565068493150685,0.0565068493150685,-0.0939415075988448,-0.0939415075988448,-0.146682713294696,262.659279948317,120,0,22,1,2,0,95
1884,-0.242783592141907,1.28710013714081,0.0580524344569288,0.0580524344569288,-0.184731157684978,-0.184731157684978,-0.242442896747296,198.979403260088,116,0,20,1,2,0,93
1885,0.453215391454678,1.87043372963645,0.0552995391705069,0.0552995391705069,0.508514930625185,0.508514930625185,1.05407110731698,408.71784318772,77,0,14,0,0,0,63
1886,0.124618252684211,2.10352391278536,0.0423076923076923,0.0423076923076923,0.166925944991903,0.166925944991903,0.71823073959612,702.271561986568,75,0,14,0,0,0,61
1887,-0.121282437931346,1.84840340439587,0.0443262411347518,0.0443262411347518,-0.0769561967965945,-0.0769561967965945,-0.107482033807527,626.789986219063,68,0,13,0,0,0,55
