Year,S,D,Source,Q,G,X
1855,2.4969443293973117,0.053083694175663304,Historical NYSE,0.1716565508894372,-0.1802632715723722,0.3519198224618094
1856,2.559030796239821,0.08861991931475215,Historical NYSE,0.058605008318452945,0.5124868518889727,-0.45388184357051975
1857,1.9392723662622737,0.1027912925365921,Historical NYSE,-0.2256676976007348,0.1483439911743889,-0.3740116887751237
1858,2.14061156368111,0.06502293351053526,Historical NYSE,0.1287023875517096,-0.4579606155749696,0.5866630031266792
1859,2.1273363880746214,0.07250280345919244,Historical NYSE,0.02729269730711048,0.10888519860852108,-0.0815925013014106
1860,2.0436272591982467,0.06062517501488598,Historical NYSE,-0.010910409218664152,-0.17891499341871953,0.16800458420005537
1861,1.9674872644446937,0.0775016857488643,Historical NYSE,0.0006660889532889014,0.24558945162402734,-0.24492336267073844
1862,2.9344910757540914,0.08385965458258635,Historical NYSE,0.42795333810351877,0.07884493503611711,0.34910840306740165
1863,4.136206023385861,0.12205408661187403,Historical NYSE,0.3723266121053437,0.3753196566173771,-0.002993044512033416
1864,4.571906014715763,0.2043375650990859,Historical NYSE,0.14387542739239434,0.5153090777888873,-0.371433650396493
1865,4.511069562503308,0.21494541723894586,Historical NYSE,0.03315215939475524,0.05061076542578169,-0.017458606031026447
1866,4.531997679678064,0.23415968508327253,Historical NYSE,0.05500611738915162,0.08561917491516957,-0.03061305752601795
1867,4.413609617218455,0.24109209831112136,Historical NYSE,0.02671499920005882,0.0291757136539188,-0.00246071445385998
1868,4.480803227561125,0.22247492649263503,Historical NYSE,0.06356688320597925,-0.08036460582267191,0.14393148902865116
1869,4.3529903576695705,0.22158155340250735,Historical NYSE,0.020710800776696514,-0.0040236966957787335,0.024734497472475248
1870,4.290404762058816,0.2165547445015421,Historical NYSE,0.03475971163432168,-0.02294733172231589,0.057707043356637566
1871,4.433803938852447,0.2972803471208471,Historical NYSE,0.09777333354896434,0.31683224636355956,-0.21905891281459522
1872,4.456182822102331,0.3320450065366293,Historical NYSE,0.07690247727484123,0.11059489830509506,-0.03369242103025383
1873,3.6674116294698638,0.34319941292826833,Historical NYSE,-0.10534892072250601,0.03304113544424814,-0.13839005616675415
1874,3.455807639298743,0.3239879694022349,Historical NYSE,0.030183801230046603,-0.05760527340202004,0.08778907463206664
1875,3.292746499405871,0.2702044628315238,Historical NYSE,0.03053293400704371,-0.18152744146765887,0.21206037547470258
1876,2.854437074756055,0.26747036480243214,Historical NYSE,-0.05327784492414733,-0.010170167747134196,-0.04310767717701314
1877,2.904164597951537,0.17925389591762064,Historical NYSE,0.07716423015514007,-0.4002055606226289,0.477369790777769
1878,3.209012396116322,0.19032153279314928,Historical NYSE,0.15743373407695316,0.059911705939460935,0.09752202813749222
1879,4.855408585197346,0.22012017575389062,Historical NYSE,0.4584674838083733,0.14545873090664996,0.31300875290172336
1880,5.818476590954694,0.30360686170846374,Historical NYSE,0.23180921621921202,0.32155999577680094,-0.08975077955758892
1881,5.927868690133673,0.3772454220024827,Historical NYSE,0.08032259457830371,0.21716231597819524,-0.13683972139989153
1882,5.362223751236185,0.37346648724594456,Historical NYSE,-0.03295663817620653,-0.010067688093953642,-0.02288895008225289
1883,4.5554859984579235,0.3585284142862081,Historical NYSE,-0.08728756091515533,-0.04082035858135136,-0.04646720233380397
1884,3.44948874380015,0.312919558282656,Historical NYSE,-0.19127296238178437,-0.13606176049916474,-0.05521120188261963
1885,5.012850135140035,0.22571155869890128,Historical NYSE,0.4178209448870387,-0.32668826003858453,0.7445092049256232
1886,5.637542759949008,0.25094677213731464,Historical NYSE,0.16099487602010742,0.10598295826626858,0.055011917753838846
1887,4.95380783008019,0.29568432988165183,Historical NYSE,-0.0713169492244754,0.1640515787105441,-0.2353685279350195
1888,5.057171443764667,0.2558196683919369,Historical NYSE,0.06999843516412585,-0.14481965624081794,0.2148180914049438
1889,5.284335549818413,0.25612076736614847,Historical NYSE,0.09126954129973686,0.0011763048507185125,0.09009323644901834
1890,4.7176475311210035,0.25857050948657995,Historical NYSE,-0.06007671471053766,0.00951933996075116,-0.06959605467128882
1891,4.856947096528304,0.2669733401732694,Historical NYSE,0.08260958540894991,0.03198038315018503,0.05062920225876488
1892,5.359600432030293,0.25494993477494593,Historical NYSE,0.14495143674180722,-0.046081612210193024,0.19103304895200024
1893,4.455824493528474,0.28773876738769033,Historical NYSE,-0.12210082994179028,0.12098581916212248,-0.24308664910391276
1894,4.330260864838731,0.25106509462574517,Historical NYSE,0.027776351727781146,-0.13634076418145424,0.1641171159092354
1895,4.422868352865583,0.2264001764433144,Historical NYSE,0.07108211557961397,-0.1034081209751252,0.17449023655473916
1896,4.453561557624243,0.21805714750421631,Historical NYSE,0.05471719519762752,-0.037546952722012694,0.09226414791964022
1897,5.0836825261600485,0.2247734798874135,Historical NYSE,0.17559689588581495,0.03033596607923683,0.14526092980657812
1898,5.702258073052189,0.25327502262980195,Historical NYSE,0.15828481378916082,0.11938280525926648,0.03890200852989434
1899,5.940085945765383,0.250781370377632,Historical NYSE,0.08221294301515125,-0.00989441907960642,0.09210736209475767
1900,7.00842479080102,0.35026363285778817,Historical NYSE,0.21415811129951168,0.3341045824707096,-0.11994647117119794
1901,8.732566709832534,0.38627020849537,Historical NYSE,0.2632292981456028,0.09785103889285973,0.16537825925274308
1902,9.194452048202946,0.4289101055566084,Historical NYSE,0.09713436292178423,0.10471020624104344,-0.007575843319259201
1903,8.010662830243213,0.4730157173731792,Historical NYSE,-0.08045611717929457,0.09788126424514743,-0.178337381424442
1904,9.20762322085903,0.4472417441467134,Historical NYSE,0.18668842176653921,-0.056029353986706054,0.24271777575324527
1905,9.821795606379425,0.43579785308145874,Historical NYSE,0.10798650471266225,-0.025920766958443475,0.13390727167110572
1906,9.714405088561197,0.48728165813584845,Historical NYSE,0.03794911631734177,0.11166381324890406,-0.0737146969315623
1907,7.163074877630751,0.5139860631081364,Historical NYSE,-0.23537306066653318,0.05335384114956365,-0.28872690181609684
1908,9.202503504056248,0.516026100036801,Historical NYSE,0.3050949907625924,0.003961195157083819,0.30113379560550857
1909,10.8697355995823,0.5305770652645639,Historical NYSE,0.21416521472212136,0.027807870947691216,0.18635734377443014
1910,9.184784728164864,0.5868906208061981,Historical NYSE,-0.10649444670586705,0.10087324991374935,-0.2073676966196164
1911,9.384363633658838,0.5644114507596673,Historical NYSE,0.07990115543169862,-0.03905495838117212,0.11895611381287075
1912,9.38700218450547,0.585066516221273,Historical NYSE,0.06074319401017103,0.03594203556121334,0.024801158448957694
1913,8.031580377229103,0.5683853473040161,Historical NYSE,-0.08756776833875302,-0.028925926665703372,-0.058641841673049644
1914,7.351002428817626,0.49644576153194386,Historical NYSE,-0.02319291005959334,-0.1353253811543893,0.11213247109479596
1915,8.518641763577849,0.5088681137099981,Historical NYSE,0.20543987950379927,0.024714638460903826,0.18072524104289545
1916,8.628288241469539,0.5954257335554775,Historical NYSE,0.07952086299477212,0.1570877939135612,-0.07756693091878908
1917,6.602529052761493,0.7188283807574906,Historical NYSE,-0.16425038313104645,0.18834596938967507,-0.3525963525207215
1918,6.792875062104367,0.6548680756860323,Historical NYSE,0.1204582865264967,-0.09318883347162515,0.21364711999812186
1919,7.4301936461677,0.5392373438329512,Historical NYSE,0.1597388183891364,-0.19427798913262434,0.35401680752176073
1920,5.889190450477221,0.5026700498499704,Historical NYSE,-0.1505265370095008,-0.07022182470240623,-0.08030471230709457
1921,6.140099435397842,0.47069964908441553,Historical NYSE,0.11558599331994035,-0.06571378745964329,0.18129978077958364
1922,7.352051176255243,0.5068807043502639,Historical NYSE,0.2468097674359624,0.07405547587668682,0.17275429155927557
1923,7.195147378251585,0.5251307267244677,Historical NYSE,0.04887104145760368,0.035371556115202374,0.013499485342401307
1924,8.58649956739853,0.5476635337783602,Historical NYSE,0.23861474753731948,0.04201387404360102,0.19660087349371846
1925,10.58,0.6,Historical NYSE,0.26393531566675854,0.09126854629239378,0.17266676937436476
1926,12.65,0.69,Shiller S&P,0.23180161405732447,0.13976194237515865,0.09203967168216581
1927,13.4,0.77,Shiller S&P,0.11346983852905979,0.10969891725642456,0.0037709212726352304
1928,17.53,0.85,Shiller S&P,0.31600840997067525,0.09884583463663257,0.21716257533404268
1929,24.86,0.97,Shiller S&P,0.3876229081746061,0.13205972201306637,0.2555631861615397
1930,21.71,0.98,Shiller S&P,-0.09133578729081471,0.010256500167189108,-0.10159228745800382
1931,15.98,0.82,Shiller S&P,-0.25639409748098707,-0.17824823140631885,-0.07814586607466822
1932,8.3,0.5,Shiller S&P,-0.5965862188539677,-0.49469624183610694,-0.10188997701786073
1933,7.09,0.44,Shiller S&P,-0.09736047299075024,-0.12783337150988494,0.030472898519134706
1934,10.54,0.45,Shiller S&P,0.4383004278714937,0.022472855852058604,0.4158275720194351
1935,9.26,0.47,Shiller S&P,-0.07996364691530244,0.04348511193973881,-0.12344875885504125
1936,13.76,0.72,Shiller S&P,0.44706433829948233,0.4265185173059967,0.02054582099348562
1937,17.59,0.8,Shiller S&P,0.29004120611103223,0.10536051565782639,0.18468069045320584
1938,11.31,0.51,Shiller S&P,-0.39753754677151454,-0.4502010019495559,0.052663455178041385
1939,12.5,0.62,Shiller S&P,0.14845049338791405,0.19530875232076583,-0.04685825893285178
1940,12.3,0.67,Shiller S&P,0.036910354020097014,0.07755823434587455,-0.04064788032577754
1941,10.55,0.71,Shiller S&P,-0.08834263966682743,0.05798725765034923,-0.14632989731717666
1942,8.93,0.59,Shiller S&P,-0.10273101111880134,-0.18514243313559597,0.08241142201679463
1943,10.09,0.61,Shiller S&P,0.18082734657945254,0.03333642026759187,0.14749092631186067
1944,11.85,0.64,Shiller S&P,0.21338348977196864,0.04800921918636064,0.165374270585608
1945,13.49,0.66,Shiller S&P,0.17738675650810665,0.030771658666753687,0.14661509784135296
1946,18.02,0.71,Shiller S&P,0.3281778462363327,0.07302513501488977,0.25515271122144295
1947,15.21,0.84,Shiller S&P,-0.1157734026041668,0.1681369218019982,-0.28391032440616504
1948,14.83,0.93,Shiller S&P,0.0355219781585312,0.10178269430994243,-0.06626071615141123
1949,15.36,1.14,Shiller S&P,0.10670822475669395,0.2035989552412394,-0.09689073048454544
1950,16.88,1.47,Shiller S&P,0.17786284678105346,0.2542341383842409,-0.07637129160318745
1951,21.21,1.41,Shiller S&P,0.29270498152016344,-0.04167269640056803,0.3343776779207315
1952,24.19,1.41,Shiller S&P,0.1881195829089255,0.0,0.1881195829089255
1953,26.18,1.45,Shiller S&P,0.1329628143133892,0.027973852042406155,0.10498896227098303
1954,25.46,1.54,Shiller S&P,0.03084110552257524,0.06021885999305482,-0.029377754470479578
1955,35.6,1.64,Shiller S&P,0.3802748592796057,0.06291382541056917,0.3173610338690365
1956,44.15,1.74,Shiller S&P,0.2539015905487574,0.05918887139033063,0.19471271915842675
1957,45.43,1.79,Shiller S&P,0.06722460460739788,0.02833050662622605,0.03889409798117183
1958,41.12,1.75,Shiller S&P,-0.05800039916142641,-0.02259983191724102,-0.03540056724418539
1959,55.62,1.83,Shiller S&P,0.33442038314785494,0.044700178917906896,0.28972020422994804
1960,58.03,1.95,Shiller S&P,0.07546832451504493,0.06351340572232589,0.011954918792719038
1961,59.72,2.02,Shiller S&P,0.06197190087149629,0.03526813883745794,0.026703762034038347
1962,69.07,2.13,Shiller S&P,0.1758258457469406,0.053024468308220274,0.12280137743872033
1963,65.06,2.28,Shiller S&P,-0.02536606936795316,0.06805346324501571,-0.09341953261296887
1964,76.45,2.5,Shiller S&P,0.19350481965644573,0.09211528890780574,0.10138953074863999
1965,86.12,2.72,Shiller S&P,0.1502000666511547,0.08434114843375085,0.06585891821740386
